_id,rol,permisos,activo,descripcion,fechaCreacion,fechaActualizacion
1,SUPER_ADMIN,"[""PERSON.INFO.DESCARGAR_CONTRATO"",""PERSON.INFO.VER_DOCUMENTACION"",""PERSON.INFO.ADICION_DOCUMENTACION"",""PERSON.INFO.CAMBIO_CELULAR"",""PERSON.INFO.CAMBIAR_ESTADO"",""PERSON.INFO.MODIFICAR"",""PERSON.INFO.AGREGAR_BENEFICIARIO"",""PERSON.INFO.WHATSAPP"",""PERSON.INFO.ELIMINAR"",""STUDENT.GLOBAL.ENVIAR_MENSAJE"",""STUDENT.GLOBAL.CONSULTA_CONTRATO"",""STUDENT.GLOBAL.GENERAR_ESTADO_CUENTA"",""STUDENT.ACADEMIA.EVALUACION"",""STUDENT.ACADEMIA.AGENDAR_CLASE"",""STUDENT.ACADEMIA.MARCAR_STEP"",""ACADEMICO.AGENDA.VER_CALENDARIO"",""ACADEMICO.AGENDA.VER_AGENDA"",""ACADEMICO.AGENDA.FILTRO"",""ACADEMICO.AGENDA.NUEVO_EVENTO"",""ACADEMICO.AGENDA.EDITAR"",""ACADEMICO.AGENDA.ELIMINAR"",""ACADEMICO.AGENDA.CREAR_EVENTO"",""ACADEMICO.AGENDA.VER_AGENDA_ACADEMICA"",""ACADEMICO.AGENDA.VER_ENLACE"",""ACADEMICO.ACADEMICA.VER"",""ACADEMICO.ACADEMICA.AGENDAMIENTO"",""ACADEMICO.ACADEMICA.EXPORTAR_CSV"",""ACADEMICO.ACADEMICA.ESTADISTICAS"",""ACADEMICO.ACADEMICA.EXPORTAR_STATS_CSV"",""ACADEMICO.ADVISOR.LISTA_VER"",""ACADEMICO.ADVISOR.VER_ENLACE"",""ACADEMICO.ADVISOR.AGREGAR"",""ACADEMICO.ADVISOR.ESTADISTICA"",""SERVICIO.WELCOME.CARGAR_EVENTOS"",""SERVICIO.WELCOME.EXPORTAR_CSV"",""SERVICIO.SESIONES.CARGAR_EVENTOS"",""SERVICIO.SESIONES.EXPORTAR_CSV"",""SERVICIO.USUARIOS.ACTUALIZAR"",""SERVICIO.USUARIOS.EXPORTAR_CSV"",""COMERCIAL.CONTRATO.MODIFICAR"",""COMERCIAL.CONTRATO.ENVIAR_PDF"",""COMERCIAL.CONTRATO.DESCARGAR"",""COMERCIAL.CONTRATO.APROBACION_AUTONOMA"",""COMERCIAL.PROSPECTOS.VER"",""APROBACION.MODIFICAR.ACTUALIZAR"",""APROBACION.MODIFICAR.EXPORTAR_CSV"",""APROBACION.MODIFICAR.CONTRATO"",""APROBACION.MODIFICAR.ENVIAR_PDF"",""APROBACION.MODIFICAR.DESCARGAR"",""APROBACION.MODIFICAR.APROBACION_AUTONOMA""]",true,Acceso total al sistema - Todos los permisos (50 permisos),2025-01-15,2025-01-15
2,ADMIN,"[""PERSON.INFO.DESCARGAR_CONTRATO"",""PERSON.INFO.VER_DOCUMENTACION"",""PERSON.INFO.ADICION_DOCUMENTACION"",""PERSON.INFO.CAMBIO_CELULAR"",""PERSON.INFO.CAMBIAR_ESTADO"",""PERSON.INFO.MODIFICAR"",""PERSON.INFO.AGREGAR_BENEFICIARIO"",""PERSON.INFO.WHATSAPP"",""STUDENT.GLOBAL.ENVIAR_MENSAJE"",""STUDENT.GLOBAL.CONSULTA_CONTRATO"",""STUDENT.GLOBAL.GENERAR_ESTADO_CUENTA"",""STUDENT.ACADEMIA.EVALUACION"",""STUDENT.ACADEMIA.AGENDAR_CLASE"",""STUDENT.ACADEMIA.MARCAR_STEP"",""ACADEMICO.AGENDA.VER_CALENDARIO"",""ACADEMICO.AGENDA.VER_AGENDA"",""ACADEMICO.AGENDA.FILTRO"",""ACADEMICO.AGENDA.NUEVO_EVENTO"",""ACADEMICO.AGENDA.EDITAR"",""ACADEMICO.AGENDA.ELIMINAR"",""ACADEMICO.AGENDA.CREAR_EVENTO"",""ACADEMICO.AGENDA.VER_AGENDA_ACADEMICA"",""ACADEMICO.AGENDA.VER_ENLACE"",""ACADEMICO.ACADEMICA.VER"",""ACADEMICO.ACADEMICA.AGENDAMIENTO"",""ACADEMICO.ACADEMICA.EXPORTAR_CSV"",""ACADEMICO.ACADEMICA.ESTADISTICAS"",""ACADEMICO.ACADEMICA.EXPORTAR_STATS_CSV"",""ACADEMICO.ADVISOR.LISTA_VER"",""ACADEMICO.ADVISOR.VER_ENLACE"",""ACADEMICO.ADVISOR.AGREGAR"",""ACADEMICO.ADVISOR.ESTADISTICA"",""SERVICIO.WELCOME.CARGAR_EVENTOS"",""SERVICIO.WELCOME.EXPORTAR_CSV"",""SERVICIO.SESIONES.CARGAR_EVENTOS"",""SERVICIO.SESIONES.EXPORTAR_CSV"",""SERVICIO.USUARIOS.ACTUALIZAR"",""SERVICIO.USUARIOS.EXPORTAR_CSV"",""COMERCIAL.CONTRATO.MODIFICAR"",""COMERCIAL.CONTRATO.ENVIAR_PDF"",""COMERCIAL.CONTRATO.DESCARGAR"",""COMERCIAL.CONTRATO.APROBACION_AUTONOMA"",""COMERCIAL.PROSPECTOS.VER"",""APROBACION.MODIFICAR.ACTUALIZAR"",""APROBACION.MODIFICAR.EXPORTAR_CSV"",""APROBACION.MODIFICAR.CONTRATO"",""APROBACION.MODIFICAR.ENVIAR_PDF"",""APROBACION.MODIFICAR.DESCARGAR"",""APROBACION.MODIFICAR.APROBACION_AUTONOMA""]",true,Administrador con permisos amplios (sin eliminar personas - 49 permisos),2025-01-15,2025-01-15
3,ADVISOR,"[""PERSON.INFO.VER_DOCUMENTACION"",""PERSON.INFO.WHATSAPP"",""STUDENT.GLOBAL.ENVIAR_MENSAJE"",""STUDENT.ACADEMIA.EVALUACION"",""STUDENT.ACADEMIA.AGENDAR_CLASE"",""STUDENT.ACADEMIA.MARCAR_STEP"",""ACADEMICO.AGENDA.VER_CALENDARIO"",""ACADEMICO.AGENDA.VER_AGENDA"",""ACADEMICO.AGENDA.FILTRO"",""ACADEMICO.AGENDA.NUEVO_EVENTO"",""ACADEMICO.AGENDA.EDITAR"",""ACADEMICO.AGENDA.CREAR_EVENTO"",""ACADEMICO.AGENDA.VER_AGENDA_ACADEMICA"",""ACADEMICO.AGENDA.VER_ENLACE"",""ACADEMICO.ACADEMICA.VER"",""ACADEMICO.ACADEMICA.AGENDAMIENTO"",""ACADEMICO.ACADEMICA.EXPORTAR_CSV"",""ACADEMICO.ACADEMICA.ESTADISTICAS"",""ACADEMICO.ACADEMICA.EXPORTAR_STATS_CSV"",""ACADEMICO.ADVISOR.LISTA_VER"",""ACADEMICO.ADVISOR.VER_ENLACE"",""SERVICIO.WELCOME.CARGAR_EVENTOS"",""SERVICIO.WELCOME.EXPORTAR_CSV""]",true,Advisor - Gestión académica y seguimiento de estudiantes (23 permisos),2025-01-15,2025-01-15
4,COMERCIAL,"[""PERSON.INFO.VER_DOCUMENTACION"",""PERSON.INFO.ADICION_DOCUMENTACION"",""PERSON.INFO.CAMBIO_CELULAR"",""PERSON.INFO.CAMBIAR_ESTADO"",""PERSON.INFO.MODIFICAR"",""PERSON.INFO.AGREGAR_BENEFICIARIO"",""PERSON.INFO.WHATSAPP"",""STUDENT.GLOBAL.ENVIAR_MENSAJE"",""STUDENT.GLOBAL.CONSULTA_CONTRATO"",""STUDENT.GLOBAL.GENERAR_ESTADO_CUENTA"",""COMERCIAL.CONTRATO.MODIFICAR"",""COMERCIAL.CONTRATO.ENVIAR_PDF"",""COMERCIAL.CONTRATO.DESCARGAR"",""COMERCIAL.CONTRATO.APROBACION_AUTONOMA"",""COMERCIAL.PROSPECTOS.VER"",""APROBACION.MODIFICAR.ACTUALIZAR"",""APROBACION.MODIFICAR.EXPORTAR_CSV"",""APROBACION.MODIFICAR.CONTRATO"",""APROBACION.MODIFICAR.ENVIAR_PDF"",""APROBACION.MODIFICAR.DESCARGAR"",""APROBACION.MODIFICAR.APROBACION_AUTONOMA""]",true,Comercial - Gestión de contratos y prospectos (21 permisos),2025-01-15,2025-01-15
5,APROBADOR,"[""PERSON.INFO.VER_DOCUMENTACION"",""PERSON.INFO.ADICION_DOCUMENTACION"",""PERSON.INFO.WHATSAPP"",""STUDENT.GLOBAL.ENVIAR_MENSAJE"",""STUDENT.GLOBAL.CONSULTA_CONTRATO"",""STUDENT.GLOBAL.GENERAR_ESTADO_CUENTA"",""APROBACION.MODIFICAR.ACTUALIZAR"",""APROBACION.MODIFICAR.EXPORTAR_CSV"",""APROBACION.MODIFICAR.CONTRATO"",""APROBACION.MODIFICAR.ENVIAR_PDF"",""APROBACION.MODIFICAR.DESCARGAR"",""APROBACION.MODIFICAR.APROBACION_AUTONOMA""]",true,Aprobador - Revisión y aprobación de contratos (12 permisos),2025-01-15,2025-01-15
6,TALERO,"[""ACADEMICO.ADVISOR.LISTA_VER""]",true,Talero - Solo puede ver lista de advisors (1 permiso),2025-01-15,2025-01-15
7,FINANCIERO,"[""PERSON.INFO.DESCARGAR_CONTRATO"",""PERSON.INFO.VER_DOCUMENTACION"",""STUDENT.GLOBAL.CONSULTA_CONTRATO"",""STUDENT.GLOBAL.GENERAR_ESTADO_CUENTA""]",true,Financiero - Consulta de contratos y estados de cuenta (4 permisos),2025-01-15,2025-01-15
8,SERVICIO,"[""PERSON.INFO.VER_DOCUMENTACION"",""PERSON.INFO.WHATSAPP"",""STUDENT.GLOBAL.ENVIAR_MENSAJE"",""SERVICIO.WELCOME.CARGAR_EVENTOS"",""SERVICIO.WELCOME.EXPORTAR_CSV"",""SERVICIO.SESIONES.CARGAR_EVENTOS"",""SERVICIO.SESIONES.EXPORTAR_CSV"",""SERVICIO.USUARIOS.ACTUALIZAR"",""SERVICIO.USUARIOS.EXPORTAR_CSV""]",true,Servicio - Gestión de eventos y usuarios (9 permisos),2025-01-15,2025-01-15
9,READONLY,"[""PERSON.INFO.VER_DOCUMENTACION"",""STUDENT.GLOBAL.CONSULTA_CONTRATO""]",true,Solo lectura - Acceso mínimo al sistema (2 permisos),2025-01-15,2025-01-15
